Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Distribution Channel,User Language,How do you think the COMMUNICATOR would feel about eliminating race-based Affirmative Action?,How do you think the COMMUNICATOR would feel about increasing the level of legal immigration?,How do you think the COMMUNICATOR would feel about increasing taxes on the wealthy?,How do you think the COMMUNICATOR would feel about legalizing same-sex marriage?,What was the name of the man that the COMMUNICATOR described?,What is the likelihood that the COMMUNICATOR is either a Democrat or a Republican?,What is your marital status?,What is your gender?,What is your age?,Are you a US citizen?,How many children live in your household? (0-10),Approximately how many surveys have you completed in the last 30 days? (0-1000),What is your race/ethnity? - Selected Choice,What is your race/ethnity? - Other - Text,"How warmly do you feel toward Democrats, in general? (0: Least Warm - 100: Most Warm)",I endorse many aspects of conservative political ideology.,I endorse many aspects of liberal political ideology.,"In general, how would you describe your political views on social issues?","Generally speaking, do you usually consider yourself a Democrat, a Republican, an Independent, or affiliated with another political party?",Note if you have completed a survey like this before and if anything seemed strange.,Mturk Code,Q12 - Topics,LIB Condition - Display Order,Social Categorization of Communicator - Display Order
2018-12-03 22:32:16,2018-12-03 22:34:55,IP Address,100,158,True,2018-12-03 22:34:55,anonymous,EN,7 - Strongly in favor,7 - Strongly in favor,6 - Moderately in favor,6 - Moderately in favor,Peter,1 - Definitely a Republican,Married,Female,24,Yes,2,247,White,,50,Agree,Strongly agree,Very conservative,A republican,No. It was easy to say.,2712125,,Q3,Q6|Q24|Q26|Q7|Q5
2018-12-03 22:33:42,2018-12-03 22:35:05,IP Address,100,82,True,2018-12-03 22:35:05,anonymous,EN,3 - Slightly opposed,6 - Moderately in favor,4 - Neutral,5 - Slightly in favor,Peter,5,Single,Female,33,Yes,9,200,White,,80,Strongly disagree,Strongly agree,Very liberal,Democrat,,7099671,,Q3,Q7|Q24|Q26|Q6|Q5
2018-12-03 22:31:59,2018-12-03 22:35:05,IP Address,100,185,True,2018-12-03 22:35:06,anonymous,EN,2 - Moderately opposed,5 - Slightly in favor,7 - Strongly in favor,6 - Moderately in favor,Peter,6,Married,Male,35,Yes,1,300,Other,pacific islander,75,Strongly disagree,Strongly agree,Very liberal,Independent,,7026676,,Q4,Q6|Q24|Q26|Q5|Q7
2018-12-03 22:32:06,2018-12-03 22:35:06,IP Address,100,179,True,2018-12-03 22:35:07,anonymous,EN,3 - Slightly opposed,6 - Moderately in favor,5 - Slightly in favor,7 - Strongly in favor,Peter,5,Single,Male,34,Yes,0,200,White,,75,Disagree,Somewhat agree,Somewhat liberal,Independent ,No,7243848,,Q3,Q7|Q5|Q24|Q6|Q26
2018-12-03 22:32:55,2018-12-03 22:35:08,IP Address,100,133,True,2018-12-03 22:35:09,anonymous,EN,4 - Neutral,7 - Strongly in favor,6 - Moderately in favor,6 - Moderately in favor,Peter,7 - Definitely a Democrat,Married,Female,35,Yes,2,10,Asian,,80,Neither agree nor disagree,Neither agree nor disagree,Middle of the road,Independent,,2529194,,Q4,Q26|Q5|Q7|Q24|Q6
2018-12-03 22:33:01,2018-12-03 22:35:11,IP Address,100,129,True,2018-12-03 22:35:11,anonymous,EN,2 - Moderately opposed,5 - Slightly in favor,5 - Slightly in favor,6 - Moderately in favor,Peter,5,Single,Male,24,Yes,0,600,White,,100,Strongly disagree,Strongly agree,Very liberal,Democrat,N/A,5987136,,Q3,Q24|Q5|Q26|Q7|Q6
2018-12-03 22:32:44,2018-12-03 22:35:14,IP Address,100,150,True,2018-12-03 22:35:14,anonymous,EN,4 - Neutral,4 - Neutral,4 - Neutral,4 - Neutral,Peter,4,Married,Female,35,Yes,4,500,White,,60,Agree,Somewhat disagree,Somewhat conservative,Republican,I have never completed a survey like this before.,2365203,,Q3,Q24|Q26|Q6|Q7|Q5
2018-12-03 22:32:23,2018-12-03 22:35:24,IP Address,100,180,True,2018-12-03 22:35:24,anonymous,EN,6 - Moderately in favor,5 - Slightly in favor,5 - Slightly in favor,4 - Neutral,Peter,6,Married,Male,30,No,0,130,Asian,,60,Neither agree nor disagree,Neither agree nor disagree,Middle of the road,None,,3208318,,Q4,Q5|Q6|Q7|Q24|Q26
2018-12-03 22:32:47,2018-12-03 22:35:29,IP Address,100,162,True,2018-12-03 22:35:29,anonymous,EN,4 - Neutral,4 - Neutral,4 - Neutral,4 - Neutral,Peter,4,Single,Female,50,Yes,0,20,White,,90,Strongly disagree,Strongly agree,Very liberal,Democrat,no,6336174,,Q4,Q24|Q7|Q26|Q5|Q6
2018-12-03 22:32:40,2018-12-03 22:35:32,IP Address,100,171,True,2018-12-03 22:35:32,anonymous,EN,5 - Slightly in favor,5 - Slightly in favor,6 - Moderately in favor,6 - Moderately in favor,Peter?,5,Married,Male,46,Yes,0,100,White,,78,Disagree,Agree,Somewhat liberal,Democrat,I forgot the name...,3908492,,Q3,Q7|Q24|Q6|Q5|Q26
2018-12-03 22:32:26,2018-12-03 22:35:36,IP Address,100,190,True,2018-12-03 22:35:36,anonymous,EN,1 - Strongly opposed,7 - Strongly in favor,6 - Moderately in favor,6 - Moderately in favor,Peter,6,Married,Male,41,Yes,0,200,White,,2,Neither agree nor disagree,Neither agree nor disagree,Somewhat conservative,None,"Nothing that strongly reminds me of this survey, and no, it seems about like any other survey.",3109660,,Q3,Q5|Q7|Q24|Q26|Q6
2018-12-03 22:32:12,2018-12-03 22:35:54,IP Address,100,222,True,2018-12-03 22:35:54,anonymous,EN,4 - Neutral,6 - Moderately in favor,5 - Slightly in favor,6 - Moderately in favor,Peter ,5,Married,Male,50,Yes,1,25,White,,50,Neither agree nor disagree,Neither agree nor disagree,Middle of the road,Independent,all good,1179091,,Q4,Q6|Q24|Q26|Q5|Q7
2018-12-03 22:32:48,2018-12-03 22:35:59,IP Address,100,190,True,2018-12-03 22:35:59,anonymous,EN,5 - Slightly in favor,2 - Moderately opposed,4 - Neutral,3 - Slightly opposed,Peter,5,Single,Female,55,Yes,0,20,White,,40,Somewhat agree,Somewhat disagree,Somewhat liberal,Republican,,685124,,Q4,Q24|Q6|Q5|Q7|Q26
2018-12-03 22:32:54,2018-12-03 22:36:00,IP Address,100,186,True,2018-12-03 22:36:00,anonymous,EN,3 - Slightly opposed,6 - Moderately in favor,6 - Moderately in favor,6 - Moderately in favor,Peter,5,Single,Male,69,Yes,0,500,White,,60,Disagree,Agree,Very liberal,Democrat,nothing strange here,1280630,,Q3,Q24|Q6|Q5|Q7|Q26
2018-12-03 22:33:01,2018-12-03 22:36:01,IP Address,100,179,True,2018-12-03 22:36:01,anonymous,EN,1 - Strongly opposed,7 - Strongly in favor,7 - Strongly in favor,7 - Strongly in favor,Peter,7 - Definitely a Democrat,Single,Male,27,Yes,0,200,White,,100,Strongly disagree,Strongly agree,Very liberal,Democrat,none,5027734,,Q3,Q5|Q26|Q7|Q24|Q6
2018-12-03 22:32:29,2018-12-03 22:36:10,IP Address,100,221,True,2018-12-03 22:36:10,anonymous,EN,6 - Moderately in favor,6 - Moderately in favor,7 - Strongly in favor,1 - Strongly opposed,Peter,1 - Definitely a Republican,Married,Female,33,Yes,0,3,Asian,,100,Neither agree nor disagree,Somewhat agree,Middle of the road,democrat,n/a,9049553,,Q3,Q7|Q5|Q6|Q26|Q24
2018-12-03 22:32:30,2018-12-03 22:36:12,IP Address,100,222,True,2018-12-03 22:36:12,anonymous,EN,1 - Strongly opposed,7 - Strongly in favor,7 - Strongly in favor,7 - Strongly in favor,Peter,7 - Definitely a Democrat,Married,Female,59,Yes,0,300,White,,90,Strongly disagree,Strongly agree,Very liberal,Democrat,,27993,,Q4,Q5|Q26|Q24|Q7|Q6
2018-12-03 22:32:06,2018-12-03 22:36:34,IP Address,100,268,True,2018-12-03 22:36:34,anonymous,EN,3 - Slightly opposed,5 - Slightly in favor,5 - Slightly in favor,6 - Moderately in favor,Peter,6,Single,Male,28,Yes,0,200,White,,30,Somewhat agree,Somewhat disagree,Somewhat conservative,Republican,,212576,,Q3,Q26|Q6|Q7|Q24|Q5
2018-12-03 22:31:56,2018-12-03 22:36:46,IP Address,100,289,True,2018-12-03 22:36:46,anonymous,EN,4 - Neutral,6 - Moderately in favor,4 - Neutral,3 - Slightly opposed,Peter,7 - Definitely a Democrat,Single,Male,24,Yes,0,15,White,,78,Disagree,Agree,Somewhat liberal,Democrat,none,2856038,,Q4,Q7|Q24|Q6|Q5|Q26
2018-12-03 22:33:43,2018-12-03 22:37:01,IP Address,100,198,True,2018-12-03 22:37:01,anonymous,EN,4 - Neutral,4 - Neutral,4 - Neutral,4 - Neutral,peter,4,Married,Male,34,Yes,0,100,White,,0,Strongly disagree,Strongly disagree,Middle of the road,independent ,"It seemed strange that anyone could even form an opinion about someone based on no actual information. I can only assume this is more ""identity politics"" nonsense which I personally find completely bigoted, disgusting and frankly, it's becoming incredibly boring.",2806330,,Q4,Q26|Q6|Q5|Q7|Q24
2018-12-03 22:35:02,2018-12-03 22:37:32,IP Address,100,149,True,2018-12-03 22:37:32,anonymous,EN,4 - Neutral,6 - Moderately in favor,7 - Strongly in favor,6 - Moderately in favor,Peter ,6,Married,Male,40,Yes,0,450,White,,85,Strongly disagree,Agree,Very liberal,Democrat,N/A,2048725,,Q3,Q6|Q7|Q24|Q5|Q26
2018-12-03 22:32:49,2018-12-03 22:37:40,IP Address,100,291,True,2018-12-03 22:37:41,anonymous,EN,1 - Strongly opposed,7 - Strongly in favor,7 - Strongly in favor,7 - Strongly in favor,Peter,5,Single,Male,57,Yes,200,2,Other,Middle Eastern Descent Lebanese / Syrian,,Agree,Strongly disagree,Very conservative,Independent,N/A,2992745,,Q4,Q7|Q5|Q26|Q6|Q24
2018-12-03 22:34:12,2018-12-03 22:38:03,IP Address,100,231,True,2018-12-03 22:38:03,anonymous,EN,5 - Slightly in favor,5 - Slightly in favor,4 - Neutral,6 - Moderately in favor,peter,4,Single,Male,27,Yes,0,100,White,,60,Agree,Somewhat agree,Somewhat conservative,Democrat,no,2880467,,Q4,Q7|Q26|Q5|Q24|Q6
2018-12-03 22:32:23,2018-12-03 22:38:26,IP Address,100,363,True,2018-12-03 22:38:26,anonymous,EN,3 - Slightly opposed,4 - Neutral,5 - Slightly in favor,4 - Neutral,peter,5,Married,Female,28,Yes,2,200,White,,50,Somewhat disagree,Neither agree nor disagree,Middle of the road,independent,nothing seemed strange,1414549,,Q4,Q26|Q24|Q6|Q5|Q7
2018-12-03 22:37:55,2018-12-03 22:38:54,IP Address,100,58,True,2018-12-03 22:38:54,anonymous,EN,5 - Slightly in favor,3 - Slightly opposed,5 - Slightly in favor,3 - Slightly opposed,Peter,3,Single,Female,31,Yes,2,500,White,,100,Disagree,Strongly agree,Very liberal,democrat,"I have not, thank you!",6742982,,Q4,Q7|Q6|Q5|Q26|Q24
2018-12-03 22:33:00,2018-12-03 22:39:15,IP Address,100,374,True,2018-12-03 22:39:15,anonymous,EN,6 - Moderately in favor,5 - Slightly in favor,3 - Slightly opposed,5 - Slightly in favor,Peter,5,Married,Male,32,Yes,2,70,Asian,,40,Somewhat agree,Somewhat disagree,Somewhat conservative,Republican,None,5955335,,Q4,Q24|Q5|Q7|Q26|Q6
2018-12-03 22:37:40,2018-12-03 22:39:25,IP Address,100,105,True,2018-12-03 22:39:26,anonymous,EN,2 - Moderately opposed,5 - Slightly in favor,5 - Slightly in favor,7 - Strongly in favor,Peter,5,Single,Female,31,Yes,0,100,White,,90,Disagree,Agree,Very liberal,Democrat,,6331566,,Q3,Q7|Q26|Q5|Q6|Q24
2018-12-03 22:32:49,2018-12-03 22:39:55,IP Address,100,426,True,2018-12-03 22:39:55,anonymous,EN,1 - Strongly opposed,7 - Strongly in favor,7 - Strongly in favor,7 - Strongly in favor,peter,7 - Definitely a Democrat,Married,Male,49,Yes,2,200,White,,20,Agree,Disagree,Somewhat conservative,republican,"this was better than similar surveys I have done, it gets to the point much faster",6146866,,Q3,Q7|Q24|Q26|Q5|Q6
2018-12-03 22:37:52,2018-12-03 22:40:31,IP Address,100,159,True,2018-12-03 22:40:32,anonymous,EN,4 - Neutral,4 - Neutral,5 - Slightly in favor,5 - Slightly in favor,Peter,5,Married,Male,28,Yes,1,50,American Indian or Alaska Native,,78,Somewhat agree,Neither agree nor disagree,Somewhat conservative,Democrat,Everything is normal and good ,6725129,,Q4,Q24|Q6|Q5|Q7|Q26
2018-12-03 22:32:00,2018-12-03 22:42:33,IP Address,100,633,True,2018-12-03 22:42:33,anonymous,EN,5 - Slightly in favor,3 - Slightly opposed,5 - Slightly in favor,5 - Slightly in favor,Peter,5,Single,Female,33,Yes,0,950,White,,90,Neither agree nor disagree,Somewhat agree,Middle of the road,Democrat,No not really,7692245,,Q4,Q6|Q26|Q24|Q7|Q5
2018-12-03 22:40:31,2018-12-03 22:42:39,IP Address,100,128,True,2018-12-03 22:42:39,anonymous,EN,4 - Neutral,3 - Slightly opposed,5 - Slightly in favor,4 - Neutral,peter,4,Married,Male,34,Yes,2,300,American Indian or Alaska Native,,80,Somewhat agree,Neither agree nor disagree,Middle of the road,Democrat,nil,6637707,,Q4,Q5|Q24|Q6|Q7|Q26
2018-12-03 22:32:08,2018-12-03 22:43:20,IP Address,100,671,True,2018-12-03 22:43:20,anonymous,EN,7 - Strongly in favor,6 - Moderately in favor,7 - Strongly in favor,7 - Strongly in favor,Peter,6,Single,Female,48,Yes,0,97,Black or African American,,0,Strongly agree,Strongly disagree,Very conservative,Republican,No,760547,,Q3,Q24|Q7|Q26|Q6|Q5
2018-12-03 22:35:43,2018-12-03 22:44:33,IP Address,100,530,True,2018-12-03 22:44:34,anonymous,EN,2 - Moderately opposed,6 - Moderately in favor,6 - Moderately in favor,6 - Moderately in favor,Peter,6,Married,Male,34,Yes,2,65,Latino,,85,Disagree,Agree,Somewhat liberal,Democrat,Have not completed similar survey; nothing seemed strange,1437979,,Q3,Q26|Q7|Q5|Q6|Q24
2018-12-03 22:43:20,2018-12-03 22:45:10,IP Address,100,109,True,2018-12-03 22:45:10,anonymous,EN,7 - Strongly in favor,1 - Strongly opposed,1 - Strongly opposed,1 - Strongly opposed,Peter,1 - Definitely a Republican,Married,Female,51,Yes,2,3,Other,biracial,80,Strongly disagree,Strongly agree,Very liberal,Democrat,No,6238820,,Q4,Q7|Q24|Q26|Q6|Q5
2018-12-03 22:43:55,2018-12-03 22:45:41,IP Address,100,106,True,2018-12-03 22:45:42,anonymous,EN,2 - Moderately opposed,4 - Neutral,5 - Slightly in favor,5 - Slightly in favor,Peter,5,Married,Male,27,Yes,0,1000,White,,60,Strongly disagree,Agree,Somewhat liberal,Democrat,N/A,2796625,,Q3,Q5|Q24|Q6|Q26|Q7
2018-12-03 22:42:47,2018-12-03 22:46:27,IP Address,100,219,True,2018-12-03 22:46:27,anonymous,EN,1 - Strongly opposed,6 - Moderately in favor,7 - Strongly in favor,7 - Strongly in favor,Peter,7 - Definitely a Democrat,Single,Male,25,Yes,0,200,White,,40,Disagree,Somewhat agree,Very liberal,Democrat,,6539103,,Q4,Q26|Q6|Q24|Q5|Q7
2018-12-03 22:46:39,2018-12-03 22:48:04,IP Address,100,84,True,2018-12-03 22:48:04,anonymous,EN,4 - Neutral,3 - Slightly opposed,3 - Slightly opposed,5 - Slightly in favor,peter,7 - Definitely a Democrat,Single,Male,30,Yes,0,3,White,,0,Neither agree nor disagree,Neither agree nor disagree,Somewhat conservative,R,no,7123378,,Q4,Q6|Q7|Q5|Q24|Q26
2018-12-03 22:59:12,2018-12-03 23:00:28,IP Address,100,75,True,2018-12-03 23:00:28,anonymous,EN,5 - Slightly in favor,3 - Slightly opposed,4 - Neutral,4 - Neutral,Peter,7 - Definitely a Democrat,Single,Male,29,Yes,0,200,White,,30,Neither agree nor disagree,Somewhat disagree,Middle of the road,Independent,,1721005,,Q3,Q26|Q24|Q5|Q6|Q7
2018-12-03 22:41:58,2018-12-03 23:02:57,IP Address,100,1258,True,2018-12-03 23:02:58,anonymous,EN,2 - Moderately opposed,4 - Neutral,5 - Slightly in favor,5 - Slightly in favor,Peter,5,Married,Male,40,Yes,2,50,White,,50,Somewhat disagree,Somewhat disagree,Middle of the road,Independent,I have not completed a survey like this before.  Everything seemed to be working fine.  Thanks!,72091,,Q4,Q7|Q26|Q24|Q6|Q5
2018-12-03 23:02:33,2018-12-03 23:04:09,IP Address,100,95,True,2018-12-03 23:04:09,anonymous,EN,4 - Neutral,4 - Neutral,4 - Neutral,4 - Neutral,Peter,4,Single,Female,26,Yes,0,50,White,,70,Strongly disagree,Strongly agree,Very liberal,Democratic Socialist,,3663498,,Q4,Q5|Q7|Q26|Q24|Q6
2018-12-03 23:03:16,2018-12-03 23:06:44,IP Address,100,208,True,2018-12-03 23:06:45,anonymous,EN,1 - Strongly opposed,6 - Moderately in favor,5 - Slightly in favor,6 - Moderately in favor,Peter,5,Single,Male,39,Yes,0,300,White,,100,Somewhat disagree,Somewhat agree,Very liberal,Democrat,I have completed a survey like this before but I can't recall anything strange.,2417326,,Q3,Q7|Q26|Q6|Q24|Q5
2018-12-03 23:07:01,2018-12-03 23:09:15,IP Address,100,134,True,2018-12-03 23:09:16,anonymous,EN,6 - Moderately in favor,5 - Slightly in favor,6 - Moderately in favor,4 - Neutral,Peter ,4,Married,Male,41,Yes,0,50,White,,90,Strongly disagree,Strongly agree,Very liberal,Democrat,,4681494,,Q3,Q7|Q6|Q5|Q26|Q24
2018-12-03 23:10:37,2018-12-03 23:12:39,IP Address,100,122,True,2018-12-03 23:12:40,anonymous,EN,1 - Strongly opposed,4 - Neutral,4 - Neutral,7 - Strongly in favor,Peter,7 - Definitely a Democrat,Single,Male,44,Yes,0,100,White,,0,Strongly agree,Strongly disagree,Very conservative,Republican,no,2971936,,Q3,Q24|Q7|Q5|Q6|Q26
2018-12-03 23:07:14,2018-12-03 23:14:38,IP Address,100,443,True,2018-12-03 23:14:38,anonymous,EN,4 - Neutral,4 - Neutral,6 - Moderately in favor,4 - Neutral,Peter,4,Single,Male,35,Yes,0,200,White,,25,Strongly agree,Disagree,Very conservative,Republican,No and No,9079740,,Q4,Q26|Q24|Q7|Q6|Q5
2018-12-03 23:15:20,2018-12-03 23:17:33,IP Address,100,133,True,2018-12-03 23:17:34,anonymous,EN,2 - Moderately opposed,6 - Moderately in favor,6 - Moderately in favor,7 - Strongly in favor,peter,6,Single,Female,37,Yes,1,100,Asian,,70,Strongly disagree,Somewhat agree,Somewhat liberal,Democrat,None.,6454477,,Q4,Q5|Q26|Q6|Q7|Q24
2018-12-03 23:22:49,2018-12-03 23:24:32,IP Address,100,102,True,2018-12-03 23:24:32,anonymous,EN,1 - Strongly opposed,7 - Strongly in favor,7 - Strongly in favor,7 - Strongly in favor,Peter,7 - Definitely a Democrat,Married,Male,24,Yes,1,1000,Asian,,50,Neither agree nor disagree,Neither agree nor disagree,Middle of the road,Independent,not applcaible,4074172,,Q3,Q6|Q5|Q7|Q26|Q24
2018-12-03 23:19:08,2018-12-03 23:25:29,IP Address,100,381,True,2018-12-03 23:25:29,anonymous,EN,1 - Strongly opposed,4 - Neutral,6 - Moderately in favor,6 - Moderately in favor,Peter,6,Single,Male,34,Yes,0,20,Latino,,100,Disagree,Agree,Very liberal,Democrat,Never completed a survey like this and nothing seemed strange about the survey.,2397884,,Q3,Q26|Q24|Q6|Q5|Q7
2018-12-03 23:32:34,2018-12-03 23:35:19,IP Address,100,164,True,2018-12-03 23:35:20,anonymous,EN,3 - Slightly opposed,3 - Slightly opposed,5 - Slightly in favor,3 - Slightly opposed,peter,6,Married,Female,45,Yes,2,350,White,,25,Agree,Disagree,Somewhat conservative,republican,,8925255,,Q4,Q5|Q6|Q24|Q26|Q7
2018-12-03 23:33:06,2018-12-03 23:37:37,IP Address,100,270,True,2018-12-03 23:37:37,anonymous,EN,3 - Slightly opposed,5 - Slightly in favor,6 - Moderately in favor,5 - Slightly in favor,Peter,5,Single,Female,64,Yes,0,100,White,,45,Disagree,Somewhat agree,Middle of the road,a disappointed in my party Democrat,"There have been many political surveys, but none exactly like this one- most political stuff is strange these days.",8643238,,Q3,Q7|Q24|Q5|Q26|Q6
2018-12-03 23:38:56,2018-12-03 23:53:20,IP Address,100,863,True,2018-12-03 23:53:20,anonymous,EN,2 - Moderately opposed,2 - Moderately opposed,7 - Strongly in favor,2 - Moderately opposed,peter,6,Single,Male,28,Yes,0,20,White,,50,Neither agree nor disagree,Neither agree nor disagree,Middle of the road,independent,,653107,,Q3,Q5|Q6|Q24|Q26|Q7
2018-12-03 23:57:37,2018-12-03 23:59:32,IP Address,100,115,True,2018-12-03 23:59:33,anonymous,EN,2 - Moderately opposed,5 - Slightly in favor,7 - Strongly in favor,5 - Slightly in favor,Peter,6,Married,Male,52,Yes,2,75,White,,80,Disagree,Agree,Somewhat liberal,Democrat,I have not completed a survey like this,8422396,,Q4,Q5|Q7|Q6|Q24|Q26
2018-12-04 00:01:23,2018-12-04 00:07:06,IP Address,100,342,True,2018-12-04 00:07:06,anonymous,EN,6 - Moderately in favor,6 - Moderately in favor,6 - Moderately in favor,6 - Moderately in favor,peter,2,Married,Male,33,Yes,2,150,Black or African American,,50,Agree,Disagree,Very conservative,a Republican,no,762568,,Q3,Q6|Q5|Q7|Q26|Q24
2018-12-04 00:03:04,2018-12-04 00:10:08,IP Address,100,424,True,2018-12-04 00:10:09,anonymous,EN,6 - Moderately in favor,6 - Moderately in favor,6 - Moderately in favor,3 - Slightly opposed,peter,2,Married,Male,30,Yes,1,150,Black or African American,,40,Agree,Disagree,Very conservative,a Republican,no,1087364,,Q4,Q24|Q26|Q5|Q6|Q7
2018-12-04 00:26:47,2018-12-04 00:31:12,IP Address,100,265,True,2018-12-04 00:31:12,anonymous,EN,4 - Neutral,4 - Neutral,6 - Moderately in favor,6 - Moderately in favor,Peter,4,Married,Female,57,Yes,0,30,White,,80,Neither agree nor disagree,Somewhat agree,Somewhat liberal,Independent,"I don't recall, and nothing seemed strange.",2972339,,Q3,Q26|Q24|Q7|Q6|Q5
